pred,succ
N000,N1008
N000,N1779
N000,N3034
N000,N2136
N000,N595
N000,N1808
N000,N122
N000,N1108
N000,N2098
N000,N1937
N000,N1807
N000,N323
N000,N667
N000,N3372
N000,N2946
N000,N312
N000,N3545
N000,N2066
N000,N2005
N000,N560
N000,N539
N000,N2665
N000,N2739
N000,N3150
N000,N368
N000,N1169
N1008,N2545
N1008,N3064
N1008,N3965
N1008,N2671
N1008,N1483
N1008,N3988
N1008,N3599
N1008,N3476
N1008,N1049
N1008,N2338
N1008,N3761
N1008,N1995
N1008,N3525
N1008,N3150
N1008,N3278
N1008,N2148
N1779,N2835
N1779,N2863
N1779,N3027
N1779,N2079
N1779,N1927
N1779,N2588
N1779,N3950
N1779,N3310
N1779,N3864
N1779,N2337
N1779,N3780
N1779,N2630
N1779,N2744
N3034,N3953
N3034,N3238
N3034,N3318
N3034,N3925
N3034,N3550
N3034,N3671
N001,N166
N001,N3307
N001,N3152
N001,N341
N001,N2027
N001,N1169
N001,N1905
N001,N3004
N001,N1974
N001,N1598
N001,N2477
N001,N1486
N001,N2893
N001,N817
N001,N2091
N001,N2875
N001,N3672
N166,N173
N166,N534
N166,N2372
N166,N258
N166,N3940
N166,N1898
N166,N803
N166,N2658
N166,N3212
N166,N637
N166,N2504
N166,N3317
N166,N2184
N166,N1041
N166,N867
N166,N2001
N3307,N3860
N3307,N3557
N3307,N3363
N3152,N3179
N3152,N3620
N341,N1049
N341,N2704
N341,N961
N341,N3027
N341,N1551
N341,N1827
N341,N3246
N341,N3623
N341,N1523
N341,N1475
N341,N2455
N341,N1064
N341,N2613
N341,N1813
N341,N3421
N341,N1276
N341,N374
N341,N2603
N341,N429
N341,N3481
N341,N408
N002,N3551
N002,N804
N002,N178
N002,N1253
N002,N877
N002,N3477
N002,N448
N002,N1614
N002,N1776
N002,N1650
N002,N498
N002,N1906
N002,N125
N002,N1602
N002,N2712
N002,N1928
N002,N3960
N002,N2031
N002,N3984
N002,N1696
N804,N2994
N804,N834
N804,N2480
N804,N1525
N804,N1645
N804,N3873
N804,N1212
N804,N3009
N804,N1779
N804,N2807
N804,N3549
N804,N2160
N804,N3465
N804,N3940
N804,N2590
N804,N2806
N804,N3272
N804,N3810
N804,N2704
N804,N2044
N804,N3862
N178,N2328
N178,N2128
N178,N3847
N178,N255
N178,N947
N178,N2614
N178,N3296
N178,N596
N178,N3649
N178,N3853
N178,N1743
N178,N1835
N178,N2144
N178,N902
N178,N3535
N178,N1504
N178,N3381
N003,N3458
N003,N302
N003,N225
N003,N1859
N003,N1849
N003,N776
N003,N1991
N003,N1829
N003,N993
N003,N2121
N003,N3556
N003,N3902
N003,N2469
N003,N658
N003,N3569
N003,N3571
N3458,N3485
N004,N235
N004,N3230
N004,N3863
N004,N3381
N004,N2931
N004,N1798
N004,N2909
N004,N1806
N004,N2267
