pred,succ
N000,N1008
N000,N1779
N000,N3034
N000,N2136
N000,N595
N000,N1808
N1008,N2545
N1008,N3064
N1008,N3965
N1779,N2835
N001,N166
N001,N3307
N001,N3152
N001,N341
N001,N2027
N001,N1169
N001,N1905
N166,N173
N166,N534
N166,N2372
N166,N258
N166,N3940
N3307,N3860
N3152,N3179
N341,N1049
N341,N2704
N341,N961
N341,N3027
N341,N1551
N341,N1827
N002,N3551
N002,N804
N002,N178
N002,N1253
N002,N877
N002,N3477
N002,N448
N804,N2994
N804,N834
N804,N2480
N178,N2328
N178,N2128
N178,N3847
N178,N255
N178,N947
N178,N2614
N178,N3296
N003,N3458
N003,N302
N003,N225
N004,N235
N004,N3230
N004,N3863
N004,N3381
N004,N2931
N004,N1798
N004,N2909
N235,N2459
N235,N3733
N235,N3913
N235,N2481
N3381,N3578
N005,N1577
N005,N1951
N1577,N3942
N006,N919
N006,N2801
N006,N3472
N006,N2130
N006,N1250
N006,N616
N006,N592
N006,N2320
N006,N634
N919,N3864
N919,N2435
N919,N1775
N2130,N3443
N2130,N3444
N2130,N3427
N007,N1207
N007,N3400
N007,N743
N007,N3179
N007,N160
N1207,N2060
N1207,N3836
N1207,N1801
N1207,N2099
N1207,N3631
N3400,N3912
N3400,N3893
N008,N3104
N008,N3294
N3104,N3238
N3104,N3772
N3104,N3359
N009,N1084
N009,N3369
N009,N1715
N009,N167
N1084,N3057
N010,N1406
N010,N3329
N010,N2466
N010,N3641
N010,N1588
N1406,N3458
N1406,N2504
N3329,N3842
N011,N3710
N011,N221
N011,N1949
N221,N1672
N221,N1786
N221,N1489
N221,N2883
N221,N1333
N012,N3071
N012,N2050
N012,N2782
N012,N2361
N012,N1550
N012,N1872
N3071,N3386
N013,N1071
N013,N851
N013,N838
N838,N2699
N838,N2643
N838,N1392
N838,N3351
N838,N3398
N838,N986
N838,N1075
N838,N2481
N014,N3646
N014,N1666
N014,N1050
N015,N2528
N015,N1432
N015,N3597
N015,N156
N015,N2280
N015,N502
N015,N1091
N015,N3203
N015,N2769
N015,N573
N2528,N2829
N2528,N3009
N1432,N2670
N1432,N3419
N3597,N3913
N156,N1966
N156,N2995
N156,N3148
N156,N193
N156,N798
N156,N2096
N156,N1749
N156,N3637
N016,N2594
N016,N3934
N016,N073
N2594,N3322
N2594,N2720
N2594,N3721
N017,N1722
N017,N1441
N017,N1735
N017,N1180
N1722,N3085
N018,N1478
N018,N2189
N018,N531
N018,N682
N018,N1845
N018,N2032
N1478,N3288
N2189,N3851
N2189,N3392
N2189,N3330
N531,N1273
N531,N2899
N531,N1975
N531,N3289
N019,N165
N019,N1248
N019,N1692
N019,N3217
N019,N3852
N165,N1131
N165,N3159
N165,N1665
N165,N625
N165,N1487
N165,N2675
N165,N2296
N020,N604
N020,N2389
N020,N2353
N020,N985
N604,N2569
