/chain,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@stDevDemand,/stages/stage/@xPos,/stages/stage/@yPos
23,23,Company Identifier,SIC Code,SIC Description,Manuf_0001,Retail_0001,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Retail_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Retail_0003,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Retail_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Retail_0003,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Retail_0004,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Retail_0004,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Retail_0005,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Retail_0005,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Retail_0005,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Retail_0006,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0012,Retail_0006,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0013,Retail_0007,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0014,Retail_0007,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0015,Retail_0009,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0016,Retail_0009,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0017,Retail_0008,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0018,Retail_0008,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0019,Retail_0010,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0020,Retail_0010,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0021,Retail_0010,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0022,Retail_0011,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0023,Retail_0011,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0024,Retail_0011,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0025,Retail_0012,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0026,Retail_0012,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0027,Retail_0013,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0028,Retail_0013,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0029,Retail_0014,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0030,Retail_0017,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0031,Retail_0017,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0032,Retail_0016,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0032,Retail_0017,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0033,Retail_0018,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0034,Retail_0018,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0035,Retail_0019,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0035,Retail_0020,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0036,Retail_0019,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0037,Retail_0020,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0038,Retail_0021,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0038,Retail_0022,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0039,Retail_0022,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0040,Retail_0022,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0041,Retail_0022,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0042,Retail_0022,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0043,Retail_0023,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0044,Retail_0023,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0045,Retail_0024,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0046,Retail_0025,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0047,Retail_0024,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Manuf_0048,Retail_0025,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0001,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0003,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0006,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0009,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0011,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0013,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0014,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0015,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0017,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0018,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0020,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0023,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0037,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0043,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0001,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0003,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0006,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0009,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0011,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0012,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0013,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0015,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0017,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0019,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0020,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0025,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0027,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0029,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0031,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0033,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0034,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0036,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0037,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0038,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0042,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0043,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0047,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0048,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0001,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0009,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0013,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0017,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0020,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0023,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0032,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0034,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0043,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0044,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0004,Manuf_0001,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0001,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0003,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0006,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0009,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0011,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0012,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0013,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0017,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0019,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0020,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0025,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0027,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0029,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0031,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0033,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0034,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0036,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0037,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0038,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0042,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0043,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0006,Manuf_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0006,Manuf_0009,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0006,Manuf_0011,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0006,Manuf_0014,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0006,Manuf_0015,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0006,Manuf_0018,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0007,Manuf_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0007,Manuf_0011,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0008,Manuf_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0008,Manuf_0006,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0008,Manuf_0009,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0008,Manuf_0011,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0008,Manuf_0015,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0009,Manuf_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0009,Manuf_0006,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0009,Manuf_0009,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0009,Manuf_0011,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0009,Manuf_0027,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0027,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0011,Manuf_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0011,Manuf_0037,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0011,Manuf_0039,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0011,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0013,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0015,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0017,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0019,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0022,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0044,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0013,Manuf_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0013,Manuf_0003,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0013,Manuf_0011,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0014,Manuf_0002,,,,,,,,,,,
23,,Company Identifier,SIC Code,SIC Description,Part_0014,Manuf_0047,,,,,,,,,,,
