/chain,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
33,33,Company Identifier,SIC Code,SIC Description,Dist_0001,Dist_0191,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0001,Manuf_0078,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0002,Dist_0192,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0003,Dist_0193,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0004,Dist_0194,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0005,Dist_0195,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0006,Dist_0196,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0006,Dist_0197,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0006,Dist_0198,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0006,Dist_0199,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0007,Dist_0200,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0007,Dist_0201,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0007,Dist_0202,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0008,Dist_0203,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0009,Dist_0204,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0010,Dist_0205,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0010,Dist_0206,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0010,Dist_0207,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0010,Dist_0208,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0010,Dist_0209,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0010,Manuf_0079,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0011,Dist_0210,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0011,Dist_0211,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0011,Dist_0212,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0011,Dist_0213,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0011,Dist_0214,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0011,Manuf_0079,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0012,Dist_0215,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0012,Dist_0216,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0012,Dist_0217,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0012,Dist_0218,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0013,Dist_0219,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0013,Dist_0220,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0013,Dist_0221,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0014,Dist_0222,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0015,Dist_0223,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0016,Dist_0224,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0016,Dist_0225,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0016,Dist_0226,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0016,Dist_0227,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0016,Dist_0228,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0016,Manuf_0079,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0016,Manuf_0080,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0017,Dist_0229,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0018,Dist_0230,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0018,Dist_0231,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0018,Dist_0232,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0019,Dist_0233,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0020,Dist_0234,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0020,Dist_0235,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0020,Dist_0236,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0020,Dist_0237,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0021,Dist_0238,,,,,,,,,,,,
33,,Company Identifier,SIC Code,SIC Description,Dist_0021,Dist_0239,,,,,,,,,,,,
