/chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@StageTime_1_p,/stages/stage/@StageTime_1_v,/stages/stage/@StageTime_2_p,/stages/stage/@StageTime_2_v,/stages/stage/@StageTime_3_p,/stages/stage/@StageTime_3_v,/stages/stage/@StageTime_4_p,/stages/stage/@StageTime_4_v,/stages/stage/@StageTime_5_p,/stages/stage/@StageTime_5_v,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
11,11,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0014,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0015,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0016,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Trans_0017,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Trans_0018,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Trans_0019,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Trans_0020,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Trans_0021,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Trans_0022,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Trans_0023,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Trans_0024,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Trans_0025,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Trans_0026,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Trans_0027,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Trans_0028,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Trans_0029,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Trans_0030,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Trans_0031,,,,,,,,,,,,,,,,,,,,,,
11,,Company Identifier,SIC Code,SIC Description,Part_0001,Trans_0001,,,,,,,,,,,,,,,,,,,,,,
