/chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@StageTime_1_p,/stages/stage/@StageTime_1_v,/stages/stage/@StageTime_2_p,/stages/stage/@StageTime_2_v,/stages/stage/@StageTime_3_p,/stages/stage/@StageTime_3_v,/stages/stage/@StageTime_4_p,/stages/stage/@StageTime_4_v,/stages/stage/@StageTime_5_p,/stages/stage/@StageTime_5_v,/stages/stage/@StageTime_6_p,/stages/stage/@StageTime_6_v,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
8,8,Company Identifier,SIC Code,SIC Description,Dist_0001,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0001,Manuf_0002,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0002,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0002,Manuf_0002,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0003,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0003,Manuf_0002,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0004,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0004,Manuf_0002,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0005,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0005,Manuf_0002,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0006,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0006,Manuf_0002,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0007,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0007,Manuf_0002,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0008,Manuf_0001,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0008,Manuf_0002,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0009,Retail_0001,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Dist_0010,Retail_0002,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0011,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Trans_0012,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0009,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0010,,,,,,,,,,,,,,,,,,,,,,,,
8,,Company Identifier,SIC Code,SIC Description,Part_0001,Trans_0001,,,,,,,,,,,,,,,,,,,,,,,,
