/chain,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
28,28,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0001,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Trans_0002,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Trans_0003,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Trans_0004,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Manuf_0007,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Manuf_0008,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Manuf_0009,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Manuf_0010,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Manuf_0011,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Manuf_0014,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Manuf_0015,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Manuf_0023,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Manuf_0025,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Manuf_0026,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Manuf_0049,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Manuf_0050,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Manuf_0051,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Manuf_0053,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Manuf_0060,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Manuf_0080,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Manuf_0082,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Manuf_0083,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0012,Manuf_0049,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0012,Manuf_0052,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0012,Manuf_0054,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0013,Manuf_0051,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0013,Manuf_0053,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0014,Manuf_0054,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0014,Manuf_0055,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0014,Manuf_0061,,,,,,,,,,,,
28,,Company Identifier,SIC Code,SIC Description,Manuf_0015,Manuf_0052,,,,,,,,,,,,
