/chain,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
10,10,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0001,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0002,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0003,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0004,Manuf_0004,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0005,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0006,Manuf_0006,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0007,Manuf_0006,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0008,Manuf_0006,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0009,Manuf_0001,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0009,Manuf_0002,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0009,Manuf_0003,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0009,Manuf_0004,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0009,Manuf_0005,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0009,Manuf_0006,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0001,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0002,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0003,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0004,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0005,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0006,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0011,Manuf_0001,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0011,Manuf_0002,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0011,Manuf_0003,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0001,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0002,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0003,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0004,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0005,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0006,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0013,Manuf_0001,,,,,,,,,,,,
10,,Company Identifier,SIC Code,SIC Description,Part_0013,Manuf_0002,,,,,,,,,,,,
