/chain,,,,,,,,,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@StageTime_1_p,/stages/stage/@StageTime_1_v,/stages/stage/@StageTime_2_p,/stages/stage/@StageTime_2_v,/stages/stage/@StageTime_3_p,/stages/stage/@StageTime_3_v,/stages/stage/@StageTime_4_p,/stages/stage/@StageTime_4_v,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
12,12,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0004,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Trans_0005,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0001,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0002,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0003,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0004,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0005,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0006,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0007,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0008,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0009,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0010,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0011,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0012,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0013,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0014,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0015,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0016,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0017,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0018,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0019,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Dist_0020,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Dist_0021,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Dist_0022,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Dist_0023,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Dist_0024,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Dist_0025,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Dist_0026,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Dist_0027,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Dist_0028,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Dist_0029,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0030,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0031,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0032,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0033,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0034,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0035,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0036,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0037,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0038,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0039,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0040,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0041,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0042,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0043,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0044,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0045,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0046,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0047,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0048,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0049,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0050,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0051,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0001,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0002,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0001,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0002,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0001,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0002,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0004,Manuf_0001,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0004,Manuf_0002,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0001,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0002,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0006,Manuf_0001,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0006,Manuf_0002,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0007,Trans_0001,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0008,Trans_0002,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0009,Trans_0003,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0003,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0011,Manuf_0003,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0011,Manuf_0006,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0004,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0013,Manuf_0004,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0013,Manuf_0007,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0014,Manuf_0005,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0015,Manuf_0005,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0016,Manuf_0005,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0016,Manuf_0008,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0016,Manuf_0009,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0017,Manuf_0006,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0018,Manuf_0007,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0019,Manuf_0003,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0019,Manuf_0004,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0019,Manuf_0005,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0019,Manuf_0006,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0019,Manuf_0007,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0019,Manuf_0008,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0019,Manuf_0009,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0020,Manuf_0008,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0021,Manuf_0008,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0022,Manuf_0009,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Part_0023,Manuf_0009,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Trans_0001,Manuf_0009,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Trans_0002,Manuf_0006,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Trans_0002,Manuf_0007,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Trans_0002,Manuf_0008,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Trans_0002,Manuf_0009,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Trans_0003,Manuf_0003,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Trans_0003,Manuf_0004,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Trans_0003,Manuf_0005,,,,,,,,,,,,,,,,,,,,
12,,Company Identifier,SIC Code,SIC Description,Trans_0004,Manuf_0003,,,,,,,,,,,,,,,,,,,,
