/chain,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@stDevDemand,/stages/stage/@xPos,/stages/stage/@yPos
2,2,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0001,,,,,,,,,,,
2,,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0002,,,,,,,,,,,
2,,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0003,,,,,,,,,,,
2,,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0004,,,,,,,,,,,
2,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Retail_0001,,,,,,,,,,,
2,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Retail_0002,,,,,,,,,,,
2,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Retail_0003,,,,,,,,,,,
2,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Retail_0003,,,,,,,,,,,
2,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Retail_0004,,,,,,,,,,,
2,,Company Identifier,SIC Code,SIC Description,Trans_0001,Manuf_0002,,,,,,,,,,,
2,,Company Identifier,SIC Code,SIC Description,Trans_0002,Manuf_0003,,,,,,,,,,,
2,,Company Identifier,SIC Code,SIC Description,Trans_0003,Manuf_0004,,,,,,,,,,,
2,,Company Identifier,SIC Code,SIC Description,Trans_0004,Manuf_0005,,,,,,,,,,,
2,,Company Identifier,SIC Code,SIC Description,,,,,3,,Manuf,80,Manuf_0001,30,,64,48
2,,Company Identifier,SIC Code,SIC Description,,,,,1,,Manuf,12,Manuf_0002,14,,416,48
2,,Company Identifier,SIC Code,SIC Description,,,,,1,,Manuf,12,Manuf_0003,14,,416,112
2,,Company Identifier,SIC Code,SIC Description,,,,,1,,Manuf,12,Manuf_0004,14,,416,176
2,,Company Identifier,SIC Code,SIC Description,,,,,1,,Manuf,12,Manuf_0005,14,,416,240
2,,Company Identifier,SIC Code,SIC Description,,,4000,20,0,0.96,Retail,0,Retail_0001,5,7500,592,48
2,,Company Identifier,SIC Code,SIC Description,,,2000,20,0,0.96,Retail,0,Retail_0002,5,3500,592,112
2,,Company Identifier,SIC Code,SIC Description,,,8000,20,0,0.96,Retail,0,Retail_0003,5,9000,592,176
2,,Company Identifier,SIC Code,SIC Description,,,700,20,0,0.96,Retail,0,Retail_0004,5,1400,592,240
2,,Company Identifier,SIC Code,SIC Description,,,,,2,,Trans,0.55,Trans_0001,15,,240,48
2,,Company Identifier,SIC Code,SIC Description,,,,,2,,Trans,0.5,Trans_0002,15,,240,112
2,,Company Identifier,SIC Code,SIC Description,,,,,2,,Trans,0.35,Trans_0003,15,,240,176
2,,Company Identifier,SIC Code,SIC Description,,,,,2,,Trans,0.35,Trans_0004,15,,240,240
