/chain,,,,,,,,,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@StageTime_1_p,/stages/stage/@StageTime_1_v,/stages/stage/@StageTime_2_p,/stages/stage/@StageTime_2_v,/stages/stage/@StageTime_3_p,/stages/stage/@StageTime_3_v,/stages/stage/@StageTime_4_p,/stages/stage/@StageTime_4_v,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
26,26,Company Identifier,SIC Code,SIC Description,Manuf_0001,Manuf_0011,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Manuf_0013,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Manuf_0015,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Manuf_0015,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Manuf_0015,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Manuf_0016,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Manuf_0016,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Manuf_0030,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Manuf_0030,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Manuf_0029,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Manuf_0030,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0012,Manuf_0037,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0013,Manuf_0038,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0014,Manuf_0039,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0015,Manuf_0040,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0016,Manuf_0042,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0017,Manuf_0042,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0018,Manuf_0042,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0019,Manuf_0042,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0020,Manuf_0042,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0021,Manuf_0055,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0022,Manuf_0055,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0023,Manuf_0055,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0024,Manuf_0055,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0025,Manuf_0055,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0026,Manuf_0056,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0027,Manuf_0056,,,,,,,,,,,,,,,,,,,,
26,,Company Identifier,SIC Code,SIC Description,Manuf_0028,Manuf_0056,,,,,,,,,,,,,,,,,,,,
