/chain,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@stDevDemand,/stages/stage/@xPos,/stages/stage/@yPos
19,19,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0001,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Manuf_0006,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Manuf_0022,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Manuf_0014,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Manuf_0015,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Manuf_0016,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Manuf_0020,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Manuf_0021,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Trans_0016,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Trans_0006,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Trans_0023,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Trans_0024,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Manuf_0025,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0011,Trans_0007,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0012,Trans_0008,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0013,Trans_0009,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0014,Trans_0010,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0015,Trans_0011,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0016,Trans_0012,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0017,Trans_0013,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0018,Trans_0014,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0019,Trans_0015,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0020,Trans_0017,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0021,Trans_0018,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0022,Trans_0019,,,,,,,,,,,
19,,Company Identifier,SIC Code,SIC Description,Manuf_0023,Trans_0021,,,,,,,,,,,
