/chain,,,,,,,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@StageTime_1_p,/stages/stage/@StageTime_1_v,/stages/stage/@StageTime_2_p,/stages/stage/@StageTime_2_v,/stages/stage/@StageTime_3_p,/stages/stage/@StageTime_3_v,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
1,1,Company Identifier,SIC Code,SIC Description,Manuf_0001,Retail_0001,,,,,,,,,,,,,,,,,,
1,,Company Identifier,SIC Code,SIC Description,Manuf_0001,Retail_0002,,,,,,,,,,,,,,,,,,
1,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Retail_0002,,,,,,,,,,,,,,,,,,
1,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Retail_0003,,,,,,,,,,,,,,,,,,
1,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0001,,,,,,,,,,,,,,,,,,
1,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0002,,,,,,,,,,,,,,,,,,
1,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0001,,,,,,,,,,,,,,,,,,
1,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0002,,,,,,,,,,,,,,,,,,
1,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0001,,,,,,,,,,,,,,,,,,
1,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0002,,,,,,,,,,,,,,,,,,
1,,Company Identifier,SIC Code,SIC Description,,,,,1,,Manuf,39,Manuf_0001,10,,,,,,,,,176,32
1,,Company Identifier,SIC Code,SIC Description,,,,,1,,Manuf,36,Manuf_0002,10,,,,,,,,,176,96
1,,Company Identifier,SIC Code,SIC Description,,,,,2,,Part,12,Part_0001,28,0.4,20,0.4,25,0.2,50,,11.22497216,32,32
1,,Company Identifier,SIC Code,SIC Description,,,,,2,,Part,5,Part_0002,15,,,,,,,,,32,96
1,,Company Identifier,SIC Code,SIC Description,,,,,2,,Part,9,Part_0003,10,,,,,,,,,32,160
1,,Company Identifier,SIC Code,SIC Description,,,253,0,0,0.95,Retail,0,Retail_0001,0,,,,,,,36.62,,304,32
1,,Company Identifier,SIC Code,SIC Description,,,45,0,0,0.95,Retail,0,Retail_0002,0,,,,,,,1,,304,96
1,,Company Identifier,SIC Code,SIC Description,,,75,0,0,0.95,Retail,0,Retail_0003,0,,,,,,,2,,304,160
