/chain,,,,,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@StageTime_1_p,/stages/stage/@StageTime_1_v,/stages/stage/@StageTime_2_p,/stages/stage/@StageTime_2_v,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
9,9,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0002,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Dist_0001,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Dist_0002,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Dist_0003,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Dist_0004,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0005,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0006,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0007,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0008,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0009,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0010,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0011,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0012,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0013,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0014,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Dist_0015,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0016,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0017,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0018,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0019,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0020,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0021,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0022,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0023,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0024,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0025,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Dist_0026,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0001,Manuf_0001,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0002,Manuf_0001,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0003,Manuf_0001,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0004,Manuf_0001,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0005,Manuf_0001,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0006,Manuf_0001,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0007,Trans_0001,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0008,Trans_0003,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0009,Manuf_0002,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0010,Manuf_0002,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0011,Manuf_0002,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0011,Manuf_0003,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0011,Manuf_0004,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0012,Manuf_0003,,,,,,,,,,,,,,,,
9,,Company Identifier,SIC Code,SIC Description,Part_0013,Manuf_0003,,,,,,,,,,,,,,,,
