/chain,,,,,,,,,,,,,,,,,,
/@company,/@company/#agg,/@companyIdentifier,/@sicCode,/@sicDescription,/arcs/arc/@from,/arcs/arc/@to,/stages/stage/@avgDemand,/stages/stage/@maxServiceTime,/stages/stage/@relDepth,/stages/stage/@serviceLevel,/stages/stage/@stageClassification,/stages/stage/@stageCost,/stages/stage/@stageName,/stages/stage/@stageTime,/stages/stage/@stDevDemand,/stages/stage/@stDevStageTime,/stages/stage/@xPos,/stages/stage/@yPos
6,6,Company Identifier,SIC Code,SIC Description,Manuf_0001,Trans_0001,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0002,Trans_0002,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0003,Trans_0003,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0004,Trans_0004,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0005,Trans_0005,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0006,Trans_0006,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Dist_0001,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Dist_0002,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0007,Dist_0003,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0004,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0005,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0008,Dist_0006,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0007,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0008,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0009,Dist_0009,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Dist_0010,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Dist_0011,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Manuf_0010,Dist_0012,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Trans_0001,Manuf_0007,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Trans_0001,Manuf_0009,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Trans_0001,Manuf_0010,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Trans_0002,Manuf_0007,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Trans_0002,Manuf_0008,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Trans_0003,Manuf_0008,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Trans_0004,Manuf_0009,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Trans_0005,Manuf_0009,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Trans_0005,Manuf_0010,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,Trans_0006,Manuf_0010,,,,,,,,,,,,
6,,Company Identifier,SIC Code,SIC Description,,,760.23,0,0,0.96,Dist,0.25,Dist_0001,9,3.01,2,496,32
6,,Company Identifier,SIC Code,SIC Description,,,291.05,0,0,0.96,Dist,0.05,Dist_0002,2,2.92,1,496,96
6,,Company Identifier,SIC Code,SIC Description,,,196.78,0,0,0.96,Dist,0.35,Dist_0003,14,2.5,3,496,160
6,,Company Identifier,SIC Code,SIC Description,,,126.53,0,0,0.96,Dist,0.25,Dist_0004,9,3.09,2,496,224
